name,image_local_path,lat,lng
Kampong Chicken House - Cơm Gà Hải Nam - Hồ Tùng Mậu,images/restaurant/Kampong Chicken House - Cơm Gà Hải Nam - Hồ Tùng Mậu/cover.jpg,10.771814463751502, 106.70375302472122
Nhà hàng Chay An & Cafe - Phạm Thái Bường,images/restaurant/Nhà hàng Chay An & Cafe - Phạm Thái Bường/cover.jpg,10.727800557303635, 106.71242888054273
Basta Hiro - Pizza & Pasta - Vincom Mega Mall Thảo Điền,images/restaurant/Basta Hiro - Pizza & Pasta - Vincom Mega Mall Thảo Điền/cover.jpg,10.802559047460448, 106.7409726112283
Mr.Ox Steak House - Nguyễn Văn Đậu,images/restaurant/Mr.Ox Steak House - Nguyễn Văn Đậu/cover.jpg,10.806085422536365, 106.68778762287229
Nhà Hàng Ẩm Thực Ven Sông Hương Quê - Thủ Đức,images/restaurant/Nhà Hàng Ẩm Thực Ven Sông Hương Quê - Thủ Đức/cover.jpg,10.853439346627063, 106.71840669342816
Kappou Nishiyama - Pasteur,images/restaurant/Kappou Nishiyama - Pasteur/cover.jpg,10.7753398637056, 106.70100298239242
BA GÁC - Nam Kỳ Khởi Nghĩa,images/restaurant/BA GÁC - Nam Kỳ Khởi Nghĩa/cover.jpg,10.772139744090628, 106.70046509588565
Yuhua - Taiwanese Hotpot Paradise - Lê Văn Sỹ,images/restaurant/Yuhua - Taiwanese Hotpot Paradise - Lê Văn Sỹ/cover.jpg,10.794936468963277, 106.6675254958858
Miya Sushi - Huỳnh Mẫn Đạt,images/restaurant/Miya Sushi - Huỳnh Mẫn Đạt/cover.jpg,10.790889758812035, 106.70863964006368
Nhà hàng Bắc Kim Thang - Estella Place,images/restaurant/Nhà hàng Bắc Kim Thang - Estella Place/cover.jpg,10.80198293793343, 106.74831838239267
Cơm Niêu Sài Gòn – Tú Xương,images/restaurant/Cơm Niêu Sài Gòn – Tú Xương/cover.jpg,10.782242175021983, 106.68789949403644
Ẩm Thực Chay Tuệ - Nguyễn Bính,images/restaurant/Ẩm Thực Chay Tuệ - Nguyễn Bính/cover.jpg,10.728292639572127, 106.71033160937837
Kậu Ba Quán - Hoàng Sa,images/restaurant/Kậu Ba Quán - Hoàng Sa/cover.jpg,10.792787365772522, 106.70180230937895
Galbi House - Lê Trọng Tấn,images/restaurant/Galbi House - Lê Trọng Tấn/cover.jpg,10.809066566946923, 106.61624598054357
Ẩm Thực Nhà Tôi - Vành Đai Trong,images/restaurant/Ẩm Thực Nhà Tôi - Vành Đai Trong/cover.jpg,10.7434461129141, 106.6153480670497
Buffet Chay - Khách Sạn Viễn Đông,images/restaurant/Buffet Chay - Khách Sạn Viễn Đông/cover.jpg,10.751620013355504, 106.66544198054304
Ẩm Thực Quê Nhà - Nguyễn Thái Bình,images/restaurant/Ẩm Thực Quê Nhà - Nguyễn Thái Bình/cover.jpg,10.799307804722952, 106.65520703821456
Cơm Niêu Thiên Lý - Dương Quang Đông,images/restaurant/Cơm Niêu Thiên Lý - Dương Quang Đông/cover.jpg,10.73902416024917, 106.66741036693824
GHIỀN BBQ Nướng & Lẩu - Lê Cơ,images/restaurant/GHIỀN BBQ Nướng & Lẩu - Lê Cơ/cover.jpg,10.7267401580808, 106.61307964191255
Buffet Chay Cỏ Nội - Khách Sạn Bông Sen,images/restaurant/Buffet Chay Cỏ Nội - Khách Sạn Bông Sen/cover.jpg,10.775243146393882, 106.70375578821448
Chang - Lotte Mart Gò Vấp,images/restaurant/Chang - Lotte Mart Gò Vấp/cover.jpg,10.83792722607857, 106.67094936705064
East West Brewing Co. - Lý Tự Trọng,images/restaurant/East West Brewing Co. - Lý Tự Trọng/cover.jpg, 10.77327762390338, 106.69617594006368
BA GÁC - Xuân Thuỷ,images/restaurant/BA GÁC - Xuân Thuỷ/cover.jpg,10.803564272360855, 106.73099462287232
Thai Market - Emart Phan Văn Trị,images/restaurant/Thai Market - Emart Phan Văn Trị/cover.jpg,10.823302880620929, 106.69343018380638
Quán Lão Trư – Street Food BBQ & Beer – Song Hành,images/restaurant/Quán Lão Trư – Street Food BBQ & Beer – Song Hành/cover.jpg,10.7995953821529, 106.73457648239271
Bò Tơ Tây Ninh Năm Sánh – Phạm Hùng,images/restaurant/Bò Tơ Tây Ninh Năm Sánh – Phạm Hùng/cover.jpg,10.733059118043656, 106.67396582287168
Unatoto - Nguyễn Hồng Đào,images/restaurant/Unatoto - Nguyễn Hồng Đào/cover.jpg,10.790564863421562, 106.64051750937901
Lạc Thái 7 - Xuân Thủy,images/restaurant/Lạc Thái 7 - Xuân Thủy/cover.jpg,10.80316974709545, 106.73073244985854
Gyu Shige Ngưu Phồn - Trần Hưng Đạo,images/restaurant/Gyu Shige Ngưu Phồn - Trần Hưng Đạo/cover.jpg,10.769412808362356, 106.69622670937869
Cua Ngon - Hương Vị Đất Mũi - Nguyễn Thái Bình,images/restaurant/Cua Ngon - Hương Vị Đất Mũi - Nguyễn Thái Bình/cover.jpg,10.796164745981798, 106.6509792385217
Le Monde Steak - Nguyễn Thị Minh Khai,images/restaurant/Le Monde Steak - Nguyễn Thị Minh Khai/cover.jpg,10.786257575055862, 106.7012731250276
Dê Quay Phố Quen - Trương Công Định,images/restaurant/Dê Quay Phố Quen - Trương Công Định/cover.jpg,10.797779239162647, 106.64152130968657
Hai Lúa - Nguyễn Trãi,images/restaurant/Hai Lúa - Nguyễn Trãi/cover.jpg,10.753934578545454, 106.66444774036856
Cơm Tấm Thuận Kiều - Đặng Đức Thuật,images/restaurant/Cơm Tấm Thuận Kiều - Đặng Đức Thuật/cover.jpg,10.725829307154411, 106.70934545201534
