name,address,image_local_path,lat,lng
Austin Home Apartment CBD - Near Tan Son Nhat Airport,"5B Đường Phổ Quang 5B Đường Phổ Quang - Lock A - Sky Center Sai Gon Luxury Living, Hồ Chí Minh, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Austin Home Apartment CBD - Near Tan Son Nhat Airp.jpg,10.8062049,106.6664726
Căn Hộ Sky Center,"5B Đường Phổ Quang, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Căn Hộ Sky Center Cách Sân Bay 5p.jpg,10.8062049,106.6664726
Skyhomes Near Tan Son Nhat Airport-Cherry Le,"5B Đường Phổ Quang, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Skyhomes Near Tan Son Nhat Airport-Cherry Le.jpg,10.8062049,106.6664726
Hmaison By Velaluxe,"1 Tản Viên, Quận Tân Bình, 72108 TP. Hồ Chí Minh, Việt Nam",images/hotels/Hmaison By Velaluxe.jpg,10.80728509,106.6652829
Nicecy Daily - Bui Vien Walking Street,"40/29 Bùi Viện, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Nicecy Daily - Bui Vien Walking Street.jpg,10.76844687,106.6939367
HT Hotel,"113 Xuân Hồng, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/HT Hotel.jpg,10.79563159,106.6535013
Căn hộ tại Phú Nhuận,"108 Đường Hồng Hà, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/Căn hộ tại Phú Nhuận.jpg,10.81239238,106.6695232
Dancentre Luxury Apartment Near SECC formerly Emerald Hotel & Apartment,"1181 Đ. Nguyễn Văn Linh 159-161, Pham Thai Buong, Phuong Tan Phong, Quan 7, Thanh Pho Ho Chi Minh, Quận 7, TP. Hồ Chí Minh, Việt Nam",images/hotels/Dancentre Luxury Apartment Near SECC formerly Emer.jpg,10.72730885,106.7060713
Orchard Park View Apartment,"132 Đường Hồng Hà, Quận Phú Nhuận, TP. Hồ Chí Minh, Việt Nam",images/hotels/Orchard Park View Apartment-5 minutes from Airport.jpg,10.80911789,106.6728878
B786 Airport Homestay,"18C Đường Lam Sơn, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam",images/hotels/B786 Airport Homestay.jpg,10.80901644,106.6668634
Park Hill Hotel - Phu My Hung,"67 Lê Văn Thiêm, Quận 7, TP. Hồ Chí Minh, Việt Nam",images/hotels/Park Hill Hotel - Phu My Hung.jpg,10.73088679,106.7075293
N&H House,"66 Bình Quới, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam",images/hotels/N&H House.jpg,10.81575336,106.7192123
Lovera Hotel Airport,"40/16 Đường Lam Sơn, TP. Hồ Chí Minh, Việt Nam",images/hotels/Lovera Hotel Airport.jpg,10.81227854,106.66792
HOD Apartment Tan Dinh,"35B Đinh Công Tráng, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/HOD Apartment Tan Dinh.jpg,10.78996667,106.6916725
Suzu Saigon - A Boutique Hotel,"16 Ngô Văn Năm, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Suzu Saigon - A Boutique Hotel.jpg,10.78122448,106.7064058
The Dilly Hotel Saigon,"170-174 Đường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/The Dilly Hotel Saigon.jpg,10.76752948,106.6977513
Wink Hotel Saigon Centre - 24hrs Stay,"75 Nguyễn Bỉnh Khiêm, Phường Đa Kao Quận 1, TP. Hồ Chí Minh, Việt Nam",images/hotels/Wink Hotel Saigon Centre - 24hrs Stay.jpg,10.79142108,106.7004109
