segment_id,time_window,avg_vehicles,std_vehicles,min_vehicles,max_vehicles,sample_count,avg_cars,avg_motorcycles,avg_buses,avg_trucks,segment_name,lat,lon,hour,day_of_week,is_weekend,is_rush_hour
SEG_0031,2025-12-18 07:30:00,19.0,,19,19,1,7.0,10.0,2.0,0.0,,10.790535,106.697494,7,3,0,1
SEG_0032,2025-12-18 00:45:00,5.666666666666667,5.686240703077327,1,12,3,4.0,1.0,0.3333333333333333,0.3333333333333333,,10.796689,106.672708,0,3,0,0
SEG_0033,2025-12-17 23:30:00,17.0,,17,17,1,5.0,11.0,1.0,0.0,,10.784591,106.699668,23,2,0,0
SEG_0033,2025-12-17 23:45:00,17.0,,17,17,1,5.0,11.0,1.0,0.0,,10.784591,106.699668,23,2,0,0
SEG_0033,2025-12-18 01:00:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.784591,106.699668,1,3,0,0
SEG_0033,2025-12-18 07:30:00,19.5,0.7071067811865476,19,20,2,5.5,13.0,0.5,0.5,,10.784591,106.699668,7,3,0,1
SEG_0034,2025-12-17 23:30:00,14.0,0.0,14,14,2,4.0,10.0,0.0,0.0,,10.779097,106.697404,23,2,0,0
SEG_0034,2025-12-18 00:30:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.779097,106.697404,0,3,0,0
SEG_0034,2025-12-18 00:45:00,0.0,,0,0,1,0.0,0.0,0.0,0.0,,10.779097,106.697404,0,3,0,0
SEG_0035,2025-12-17 23:30:00,22.5,2.1213203435596424,21,24,2,9.0,12.0,0.0,1.5,,10.786587,106.701597,23,2,0,0
SEG_0035,2025-12-17 23:45:00,22.5,2.1213203435596424,21,24,2,9.0,12.0,0.0,1.5,,10.786587,106.701597,23,2,0,0
SEG_0035,2025-12-18 01:00:00,3.5,0.7071067811865476,3,4,2,2.5,0.0,0.5,0.5,,10.786587,106.701597,1,3,0,0
SEG_0035,2025-12-18 07:30:00,17.0,13.74772708486752,5,32,3,4.0,13.0,0.0,0.0,,10.786587,106.701597,7,3,0,1
SEG_0036,2025-12-17 23:30:00,19.0,5.656854249492381,15,23,2,4.0,13.0,1.5,0.5,,10.788247,106.704055,23,2,0,0
SEG_0036,2025-12-17 23:45:00,19.0,5.656854249492381,15,23,2,4.0,13.0,1.5,0.5,,10.788247,106.704055,23,2,0,0
SEG_0036,2025-12-18 01:00:00,1.5,2.1213203435596424,0,3,2,1.0,0.5,0.0,0.0,,10.788247,106.704055,1,3,0,0
SEG_0036,2025-12-18 07:30:00,21.5,4.932882862316247,15,27,4,6.5,14.0,0.25,0.75,,10.788247,106.704055,7,3,0,1
SEG_0037,2025-12-17 23:30:00,23.0,0.0,23,23,3,3.0,19.0,0.0,1.0,,10.767909,106.68546,23,2,0,0
SEG_0037,2025-12-17 23:45:00,23.0,,23,23,1,3.0,19.0,0.0,1.0,,10.767909,106.68546,23,2,0,0
SEG_0037,2025-12-18 00:00:00,23.0,0.0,23,23,2,3.0,19.0,0.0,1.0,,10.767909,106.68546,0,3,0,0
SEG_0037,2025-12-18 00:15:00,1.0,,1,1,1,1.0,0.0,0.0,0.0,,10.767909,106.68546,0,3,0,0
SEG_0037,2025-12-18 00:30:00,2.6666666666666665,1.1547005383792517,2,4,3,2.0,0.6666666666666666,0.0,0.0,,10.767909,106.68546,0,3,0,0
SEG_0037,2025-12-18 00:45:00,7.75,10.242883708539633,1,23,4,1.25,6.25,0.0,0.25,,10.767909,106.68546,0,3,0,0
SEG_0037,2025-12-18 01:00:00,1.0,,1,1,1,1.0,0.0,0.0,0.0,,10.767909,106.68546,1,3,0,0
SEG_0037,2025-12-18 07:30:00,21.666666666666668,3.511884584284246,18,25,3,3.3333333333333335,18.333333333333332,0.0,0.0,,10.767909,106.68546,7,3,0,1
SEG_0038,2025-12-17 23:30:00,17.555555555555557,6.692897115216383,6,25,27,4.444444444444445,12.222222222222221,0.2222222222222222,0.6666666666666666,,10.772601222222224,106.6873918888889,23,2,0,0
SEG_0038,2025-12-17 23:45:00,17.555555555555557,6.966188181335455,6,25,9,4.444444444444445,12.222222222222221,0.2222222222222222,0.6666666666666666,,10.772601222222224,106.6873918888889,23,2,0,0
SEG_0038,2025-12-18 00:30:00,2.5555555555555554,2.068278940998476,0,6,9,1.4444444444444444,0.8888888888888888,0.0,0.2222222222222222,,10.772601222222224,106.6873918888889,0,3,0,0
SEG_0038,2025-12-18 00:45:00,2.4444444444444446,1.9436506316151,0,6,9,1.4444444444444444,0.6666666666666666,0.0,0.3333333333333333,,10.772601222222224,106.6873918888889,0,3,0,0
SEG_0038,2025-12-18 01:00:00,4.888888888888889,3.689323936863109,0,11,9,2.888888888888889,1.3333333333333333,0.1111111111111111,0.5555555555555556,,10.772601222222224,106.6873918888889,1,3,0,0
SEG_0038,2025-12-18 07:30:00,18.807692307692307,7.85375951131294,5,31,26,4.0,13.653846153846153,0.19230769230769232,0.9615384615384616,,10.772601222222224,106.6873918888889,7,3,0,1
SEG_0039,2025-12-17 23:45:00,22.0,0.0,22,22,2,7.0,15.0,0.0,0.0,,10.766331,106.678641,23,2,0,0
SEG_0039,2025-12-18 00:30:00,3.0,1.4142135623730951,2,4,2,1.5,1.0,0.0,0.5,,10.766331,106.678641,0,3,0,0
SEG_0039,2025-12-18 00:45:00,4.0,,4,4,1,0.0,4.0,0.0,0.0,,10.766331,106.678641,0,3,0,0
SEG_0039,2025-12-18 01:00:00,2.0,,2,2,1,0.0,2.0,0.0,0.0,,10.766331,106.678641,1,3,0,0
SEG_0039,2025-12-18 07:30:00,22.0,,22,22,1,4.0,17.0,0.0,1.0,,10.766331,106.678641,7,3,0,1
SEG_0040,2025-12-18 00:00:00,25.0,0.0,25,25,2,1.0,24.0,0.0,0.0,,10.772718,106.679174,0,3,0,0
SEG_0040,2025-12-18 00:15:00,5.0,,5,5,1,5.0,0.0,0.0,0.0,,10.772718,106.679174,0,3,0,0
SEG_0040,2025-12-18 00:30:00,1.0,0.0,1,1,2,0.0,0.0,0.0,1.0,,10.772718,106.679174,0,3,0,0
SEG_0040,2025-12-18 00:45:00,8.666666666666666,14.153915830374762,0,25,3,0.6666666666666666,8.0,0.0,0.0,,10.772718,106.679174,0,3,0,0
SEG_0041,2025-12-17 23:30:00,16.0,,16,16,1,3.0,11.0,1.0,1.0,,10.80653,106.712634,23,2,0,0
SEG_0041,2025-12-17 23:45:00,16.0,,16,16,1,3.0,11.0,1.0,1.0,,10.80653,106.712634,23,2,0,0
SEG_0041,2025-12-18 01:00:00,2.0,,2,2,1,2.0,0.0,0.0,0.0,,10.80653,106.712634,1,3,0,0
SEG_0041,2025-12-18 07:30:00,17.666666666666668,3.0550504633038935,15,21,3,3.3333333333333335,13.666666666666666,0.6666666666666666,0.0,,10.80653,106.712634,7,3,0,1
SEG_0042,2025-12-17 23:30:00,23.0,,23,23,1,3.0,19.0,1.0,0.0,,10.792779,106.707398,23,2,0,0
SEG_0042,2025-12-17 23:45:00,23.0,,23,23,1,3.0,19.0,1.0,0.0,,10.792779,106.707398,23,2,0,0
